Sector,Ticker,Current Price,RMSE,MAE,MAPE (%),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,2029-07,2029-08,2029-09,2029-10,2029-11,2029-12,2030-01,2030-02,2030-03,2030-04,2030-05,2030-06,2030-07,2030-08,2030-09,2030-10,2030-11,2030-12,Volatility,Std Dev (%),Sharpe Ratio,Sortino Ratio,VaR (95%),Expected Shortfall (95%),Max Drawdown (%),Covariance with Nifty,Beta
Construction,KPIL.NS,1287.14,63.83,52.19,4.22,1290.670044,1291.72998,1292.76001,1293.77002,1294.72998,1295.660034,1296.540039,1297.369995,1298.170044,1298.920044,1299.619995,1300.290039,1300.920044,1301.51001,1302.060059,1302.579956,1303.069946,1303.530029,1303.959961,1304.369995,1304.75,1305.099976,1305.430054,1305.73999,1306.030029,1306.300049,1306.560059,1306.800049,1307.02002,1307.22998,1307.430054,1307.609985,1307.790039,1307.949951,1308.099976,1308.23999,1308.380005,1308.5,1308.619995,1308.719971,1308.829956,1308.920044,1309.01001,1309.089966,1309.170044,1309.23999,1309.310059,1309.369995,1309.430054,1309.48999,1309.540039,1309.589966,1309.630005,1309.670044,1309.709961,1309.75,1309.790039,1309.819946,1309.849976,1309.880005,0.0002,0.02,1.04,NaN,0,0,0,0.0004,0.36
Construction,LT.NS,3574.31,115.99,87.46,2.9,3408.679932,3342.350098,3262.070068,3180.090088,3101.699951,3029.810059,2965.909912,2910.419922,2862.919922,2822.389893,2787.5,2756.800049,2728.909912,2702.659912,2677.159912,2651.800049,2626.26001,2600.469971,2574.52002,2548.620117,2523.060059,2498.090088,2473.949951,2450.830078,2428.820068,2407.969971,2388.25,2369.590088,2351.879883,2334.98999,2318.820068,2303.22998,2288.139893,2273.459961,2259.139893,2245.139893,2231.439941,2218.040039,2204.939941,2192.139893,2179.659912,2167.5,2155.649902,2144.129883,2132.919922,2122.01001,2111.389893,2101.050049,2090.969971,2081.139893,2071.540039,2062.149902,2052.969971,2043.98999,2035.199951,2026.589966,2018.150024,2009.890015,2001.790039,1993.859985,0.0056,0.56,-1.6,-1.6,-2.33,-2.46,-41.51,0.0025,1.17
Construction,MANINFRA.NS,244.66,6.08,4.21,2.98,234.419998,232.289993,228.970001,225.210007,221.460007,217.970001,214.869995,212.169998,209.880005,207.929993,206.270004,204.830002,203.559998,202.399994,201.320007,200.289993,199.289993,198.320007,197.360001,196.419998,195.490005,194.589996,193.710007,192.860001,192.029999,191.229996,190.470001,189.729996,189.020004,188.330002,187.679993,187.039993,186.429993,185.850006,185.279999,184.729996,184.199997,183.679993,183.190002,182.710007,182.240005,181.789993,181.360001,180.929993,180.529999,180.130005,179.740005,179.369995,179.009995,178.660004,178.320007,177.990005,177.669998,177.360001,177.059998,176.770004,176.479996,176.210007,175.940002,175.679993,0.004,0.4,-1.22,-1.22,-1.45,-1.63,-25.06,0.0034,1.59
Construction,NBCC.NS,92.35,3.73,2.27,4,87.940002,87.360001,86.5,85.5,84.459999,83.410004,82.379997,81.400002,80.459999,79.57,78.730003,77.93,77.169998,76.440002,75.739998,75.07,74.419998,73.790001,73.18,72.580002,72,71.440002,70.879997,70.339996,69.82,69.300003,68.800003,68.309998,67.830002,67.360001,66.900002,66.449997,66.010002,65.580002,65.160004,64.75,64.339996,63.950001,63.560001,63.18,62.810001,62.450001,62.09,61.740002,61.400002,61.060001,60.73,60.41,60.09,59.779999,59.470001,59.169998,58.869999,58.580002,58.299999,58.02,57.740002,57.470001,57.209999,56.950001,0.0023,0.23,-3.24,-3.24,-1.2,-1.23,-35.24,0.0035,1.64
Construction,NCC.NS,273.9,8.52,5.29,2.79,263.959991,258.790009,253.460007,248.729996,244.850006,241.75,239.199997,236.919998,234.729996,232.509995,230.270004,228.029999,225.869995,223.839996,221.940002,220.190002,218.570007,217.050003,215.619995,214.25,212.949997,211.699997,210.5,209.360001,208.270004,207.229996,206.240005,205.300003,204.410004,203.550003,202.729996,201.940002,201.190002,200.470001,199.779999,199.110001,198.479996,197.869995,197.279999,196.720001,196.179993,195.660004,195.160004,194.679993,194.220001,193.770004,193.339996,192.929993,192.529999,192.149994,191.779999,191.429993,191.080002,190.75,190.429993,190.130005,189.830002,189.539993,189.270004,189,0.0046,0.46,-1.24,-1.24,-1.59,-1.96,-28.4,0.004,1.85
Construction,NUVOCO.NS,350.25,8.38,6.63,1.96,351.329987,351.459991,351.75,352.109985,352.48999,352.839996,353.140015,353.399994,353.589996,353.730011,353.829987,353.890015,353.920013,353.929993,353.929993,353.920013,353.910004,353.910004,353.910004,353.920013,353.940002,353.970001,354.01001,354.059998,354.109985,354.160004,354.220001,354.279999,354.329987,354.390015,354.450012,354.5,354.549988,354.600006,354.649994,354.690002,354.730011,354.779999,354.820007,354.859985,354.890015,354.929993,354.970001,355,355.040009,355.079987,355.109985,355.140015,355.179993,355.209991,355.25,355.279999,355.309998,355.339996,355.369995,355.399994,355.429993,355.459991,355.48999,355.519989,0.0003,0.03,0.76,25.42,0,0,-0.01,0.0013,1.07
Construction,ORIENTCEM.NS,343,16.51,10.59,4.43,303.649994,285.309998,261.320007,237.649994,217.5,202.080002,191.330002,184.520004,180.729996,179,178.509995,178.589996,178.75,178.710007,178.289993,177.460007,176.270004,174.809998,173.169998,171.449997,169.720001,168.050003,166.460007,164.960007,163.550003,162.229996,160.960007,159.75,158.580002,157.449997,156.330002,155.240005,154.169998,153.130005,152.100006,151.100006,150.130005,149.179993,148.259995,147.369995,146.5,145.660004,144.830002,144.029999,143.25,142.490005,141.740005,141.009995,140.300003,139.600006,138.919998,138.240005,137.580002,136.940002,136.300003,135.669998,135.059998,134.449997,133.860001,133.270004,0.0215,2.15,-0.63,-0.63,-7.22,-8.65,-56.11,0.0025,1.17
Construction,PATELENG.NS,51.97,1.96,1.49,3.94,53.450001,54.259998,55.400002,56.66,57.93,59.150002,60.32,61.419998,62.490002,63.509998,64.5,65.449997,66.349998,67.199997,67.989998,68.720001,69.389999,69.989998,70.540001,71.029999,71.459999,71.849998,72.190002,72.489998,72.75,72.970001,73.169998,73.330002,73.470001,73.589996,73.699997,73.779999,73.860001,73.919998,73.970001,74.010002,74.050003,74.080002,74.110001,74.129997,74.150002,74.169998,74.18,74.190002,74.199997,74.209999,74.220001,74.220001,74.230003,74.239998,74.239998,74.25,74.25,74.25,74.260002,74.260002,74.260002,74.260002,74.269997,74.269997,0.0073,0.73,0.77,NaN,0,0,0,0.0039,1.82
Construction,PNCINFRA.NS,333.55,12.44,8.21,2.29,336,338.73999,340.380005,341.190002,341.390015,341.23999,340.950012,340.709991,340.640015,340.809998,341.230011,341.890015,342.709991,343.640015,344.600006,345.540009,346.410004,347.200012,347.880005,348.470001,348.980011,349.440002,349.859985,350.26001,350.670013,351.079987,351.51001,351.950012,352.390015,352.839996,353.279999,353.709991,354.130005,354.529999,354.910004,355.279999,355.630005,355.959991,356.279999,356.589996,356.890015,357.190002,357.470001,357.76001,358.029999,358.299988,358.559998,358.820007,359.059998,359.299988,359.529999,359.75,359.970001,360.179993,360.380005,360.570007,360.76001,360.950012,361.119995,361.299988,0.0013,0.13,0.96,4.35,-0.02,-0.07,-0.22,0.0032,1.44
Construction,POWERMECH.NS,2570.05,273.3,205.68,9.2,2208.949951,2123.840088,2009.550049,1890.560059,1777.599976,1675.349976,1585.579956,1508.410034,1443.030029,1388.069946,1341.890015,1302.829956,1269.300049,1239.910034,1213.52002,1189.22998,1166.400024,1144.589966,1123.540039,1103.099976,1083.25,1064,1045.380005,1027.469971,1010.289978,993.900024,978.299988,963.5,949.469971,936.190002,923.609985,911.690002,900.390015,889.650024,879.429993,869.679993,860.380005,851.47998,842.960022,834.789978,826.950012,819.419983,812.190002,805.23999,798.559998,792.130005,785.950012,780,774.27002,768.76001,763.450012,758.340027,753.419983,748.669983,744.099976,739.679993,735.429993,731.320007,727.359985,723.530029,0.0151,1.51,-1.23,-1.23,-5.42,-5.88,-67.25,0.003,1.36
